c_eps,regime,method,Gamma,X,pi_treat_avg
1.0,uncap,DoublyRobust-O-X,3,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,3,-0.3333,0.8704
1.0,uncap,DoublyRobust-O-X,3,0.0,0.974
1.0,uncap,DoublyRobust-O-X,3,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,3,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,3,1.0,0.9317
1.0,uncap,DoublyRobust-O-X,4,-1.0,0.0
1.0,uncap,DoublyRobust-O-X,4,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,4,-0.3333,0.8473
1.0,uncap,DoublyRobust-O-X,4,0.0,0.9472
1.0,uncap,DoublyRobust-O-X,4,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,4,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,4,1.0,0.9816
1.0,uncap,DoublyRobust-O-X,5,-1.0,0.0
1.0,uncap,DoublyRobust-O-X,5,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,5,-0.3333,0.8249
1.0,uncap,DoublyRobust-O-X,5,0.0,0.9069
1.0,uncap,DoublyRobust-O-X,5,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,5,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,5,1.0,0.9948
1.0,uncap,DoublyRobust-O-X,6,-1.0,0.25
1.0,uncap,DoublyRobust-O-X,6,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,6,-0.3333,0.7881
1.0,uncap,DoublyRobust-O-X,6,0.0,0.8842
1.0,uncap,DoublyRobust-O-X,6,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,6,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,6,1.0,0.9913
1.0,uncap,DoublyRobust-O-X,8,-1.0,0.25
1.0,uncap,DoublyRobust-O-X,8,-0.6667,0.0
1.0,uncap,DoublyRobust-O-X,8,-0.3333,0.7636
1.0,uncap,DoublyRobust-O-X,8,0.0,0.8624
1.0,uncap,DoublyRobust-O-X,8,0.3333,1.0
1.0,uncap,DoublyRobust-O-X,8,0.6667,1.0
1.0,uncap,DoublyRobust-O-X,8,1.0,0.9961
1.0,uncap,Hajek-O-X,1,-1.0,0.0
1.0,uncap,Hajek-O-X,1,-0.6667,0.0
1.0,uncap,Hajek-O-X,1,-0.3333,1.0
1.0,uncap,Hajek-O-X,1,0.0,1.0
1.0,uncap,Hajek-O-X,1,0.3333,1.0
1.0,uncap,Hajek-O-X,1,0.6667,1.0
1.0,uncap,Hajek-O-X,1,1.0,0.5
1.0,uncap,Hajek-O-X,1.5,-1.0,0.0
1.0,uncap,Hajek-O-X,1.5,-0.6667,0.0
1.0,uncap,Hajek-O-X,1.5,-0.3333,0.4765
1.0,uncap,Hajek-O-X,1.5,0.0,1.0
1.0,uncap,Hajek-O-X,1.5,0.3333,1.0
1.0,uncap,Hajek-O-X,1.5,0.6667,0.169
1.0,uncap,Hajek-O-X,1.5,1.0,0.1391
1.0,uncap,Hajek-O-X,2,-1.0,0.0
1.0,uncap,Hajek-O-X,2,-0.6667,0.0
1.0,uncap,Hajek-O-X,2,-0.3333,0.2407
1.0,uncap,Hajek-O-X,2,0.0,0.5059
1.0,uncap,Hajek-O-X,2,0.3333,0.2597
1.0,uncap,Hajek-O-X,2,0.6667,0.0143
1.0,uncap,Hajek-O-X,2,1.0,0.0131
1.0,uncap,Hajek-O-X,2.5,-1.0,0.0
1.0,uncap,Hajek-O-X,2.5,-0.6667,0.0
1.0,uncap,Hajek-O-X,2.5,-0.3333,0.0
1.0,uncap,Hajek-O-X,2.5,0.0,0.0
1.0,uncap,Hajek-O-X,2.5,0.3333,0.0
1.0,uncap,Hajek-O-X,2.5,0.6667,0.0
1.0,uncap,Hajek-O-X,2.5,1.0,0.0
1.0,uncap,Hajek-O-X,3,-1.0,0.0
1.0,uncap,Hajek-O-X,3,-0.6667,0.0
1.0,uncap,Hajek-O-X,3,-0.3333,0.0
1.0,uncap,Hajek-O-X,3,0.0,0.0
1.0,uncap,Hajek-O-X,3,0.3333,0.0
1.0,uncap,Hajek-O-X,3,0.6667,0.0
1.0,uncap,Hajek-O-X,3,1.0,0.0
1.0,uncap,Hajek-O-X,4,-1.0,0.0
1.0,uncap,Hajek-O-X,4,-0.6667,0.0
1.0,uncap,Hajek-O-X,4,-0.3333,0.0
1.0,uncap,Hajek-O-X,4,0.0,0.0
1.0,uncap,Hajek-O-X,4,0.3333,0.0
1.0,uncap,Hajek-O-X,4,0.6667,0.0
1.0,uncap,Hajek-O-X,4,1.0,0.0
1.0,uncap,Hajek-O-X,5,-1.0,0.0
1.0,uncap,Hajek-O-X,5,-0.6667,0.0
1.0,uncap,Hajek-O-X,5,-0.3333,0.0
1.0,uncap,Hajek-O-X,5,0.0,0.0
1.0,uncap,Hajek-O-X,5,0.3333,0.0
1.0,uncap,Hajek-O-X,5,0.6667,0.0
1.0,uncap,Hajek-O-X,5,1.0,0.0
1.0,uncap,Hajek-O-X,6,-1.0,0.0
1.0,uncap,Hajek-O-X,6,-0.6667,0.0
1.0,uncap,Hajek-O-X,6,-0.3333,0.0
1.0,uncap,Hajek-O-X,6,0.0,0.0
1.0,uncap,Hajek-O-X,6,0.3333,0.0
1.0,uncap,Hajek-O-X,6,0.6667,0.0
1.0,uncap,Hajek-O-X,6,1.0,0.0
1.0,uncap,Hajek-O-X,8,-1.0,0.0
1.0,uncap,Hajek-O-X,8,-0.6667,0.0
1.0,uncap,Hajek-O-X,8,-0.3333,0.0
1.0,uncap,Hajek-O-X,8,0.0,0.0
1.0,uncap,Hajek-O-X,8,0.3333,0.0
1.0,uncap,Hajek-O-X,8,0.6667,0.0
1.0,uncap,Hajek-O-X,8,1.0,0.0
1.0,uncap,IPW-O-W,1,-1.0,0.0
1.0,uncap,IPW-O-W,1,-0.6667,0.0
1.0,uncap,IPW-O-W,1,-0.3333,1.0
1.0,uncap,IPW-O-W,1,0.0,1.0
1.0,uncap,IPW-O-W,1,0.3333,1.0
1.0,uncap,IPW-O-W,1,0.6667,1.0
1.0,uncap,IPW-O-W,1,1.0,0.5
1.0,uncap,IPW-O-W,1.5,-1.0,0.0
1.0,uncap,IPW-O-W,1.5,-0.6667,0.0
1.0,uncap,IPW-O-W,1.5,-0.3333,0.6566
1.0,uncap,IPW-O-W,1.5,0.0,1.0
1.0,uncap,IPW-O-W,1.5,0.3333,1.0
1.0,uncap,IPW-O-W,1.5,0.6667,0.9964
1.0,uncap,IPW-O-W,1.5,1.0,1.0
1.0,uncap,IPW-O-W,2,-1.0,0.0
1.0,uncap,IPW-O-W,2,-0.6667,0.0
1.0,uncap,IPW-O-W,2,-0.3333,0.2843
1.0,uncap,IPW-O-W,2,0.0,1.0
1.0,uncap,IPW-O-W,2,0.3333,1.0
1.0,uncap,IPW-O-W,2,0.6667,0.9691
1.0,uncap,IPW-O-W,2,1.0,1.0
1.0,uncap,IPW-O-W,2.5,-1.0,0.0
1.0,uncap,IPW-O-W,2.5,-0.6667,0.0
1.0,uncap,IPW-O-W,2.5,-0.3333,0.2585
1.0,uncap,IPW-O-W,2.5,0.0,0.9155
1.0,uncap,IPW-O-W,2.5,0.3333,1.0
1.0,uncap,IPW-O-W,2.5,0.6667,0.9684
1.0,uncap,IPW-O-W,2.5,1.0,1.0
1.0,uncap,IPW-O-W,3,-1.0,0.0
1.0,uncap,IPW-O-W,3,-0.6667,0.0
1.0,uncap,IPW-O-W,3,-0.3333,0.2528
1.0,uncap,IPW-O-W,3,0.0,0.831
