dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Direct-X-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,1.5,0.4043,0.0779
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,2.0,0.3078,0.1897
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,2.5,0.0413,0.1094
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,4.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,5.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,1.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,2.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,2.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,3.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,4.0,0.4441,0.1569
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,5.0,0.5785,0.2014
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,6.0,0.6352,0.2027
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-X,8.0,0.7889,0.097
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,1.5,0.1022,0.0941
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,2.0,0.0046,0.0096
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,2.5,-0.0073,0.0158
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,4.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,5.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,Hajek-O-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,1.5,0.4208,0.1119
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,2.0,0.4308,0.1353
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,2.5,0.4318,0.1377
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,3.0,0.4319,0.1379
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,4.0,0.4364,0.1488
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,5.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,6.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.0,cap,IPW-O-W,8.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,1.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,2.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,2.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,3.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,4.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,5.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,6.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.0,cap,DoublyRobust-O-W,8.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,1.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,2.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,2.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,3.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,4.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,5.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,6.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-X-X,8.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,1.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,2.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,2.5,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,3.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,4.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,5.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,6.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,DoublyRobust-X-X,8.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,1.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,1.5,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,2.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,2.5,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,4.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,5.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,Direct-X-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,1.5,0.7982,0.0501
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,2.0,0.527,0.3092
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,2.5,0.1042,0.2756
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,uncap,IPW-O-X,4.0,0.0,0.0
