dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,2.0,1.0205,0.031
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,2.5,1.0205,0.031
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,3.0,1.0228,0.0284
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,4.0,1.0162,0.033
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,5.0,1.016,0.0333
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,6.0,1.016,0.0333
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,IPW-O-W,8.0,1.0143,0.0358
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,1.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,1.5,1.0228,0.0284
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,2.0,1.0173,0.0332
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,2.5,1.0173,0.0332
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,3.0,0.9727,0.1196
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,4.0,0.973,0.1189
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,5.0,0.9732,0.1184
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,6.0,0.9733,0.1183
"X4(-1,-0.5,0.5,1)",300,8,1.0,cap,DoublyRobust-O-W,8.0,0.971,0.118
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,1.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,1.5,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,2.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,2.5,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,3.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,4.0,0.3668,0.2904
