arm,X,outcome,count,w_hat,box_down,O_distort,OW_distort
1,0.0,bad,2,2.041173772052601,0.9557090667743249,0.9557090667743249,0.9557090667743249
1,0.1,good,16,2.1181238694996365,1.0263427187095986,1.0263427187095986,1.0263427187095986
1,0.1,bad,2,2.1181238694996365,1.0263427187095986,1.0263427187095986,1.0263427187095986
1,0.2,good,12,2.200767305071445,1.102202371349184,1.1022023713491842,1.1022023713491842
1,0.2,bad,3,2.200767305071445,1.102202371349184,1.102202371349184,1.102202371349184
1,0.3,good,9,2.2895253140890794,1.1836746829305258,1.1836746829305258,1.1836746829305258
1,0.3,bad,2,2.2895253140890794,1.1836746829305258,1.1836746829305258,1.1836746829305258
1,0.4,good,21,2.3848502979824366,1.27117491953118,1.27117491953118,1.27117491953118
1,0.4,bad,1,2.3848502979824366,1.27117491953118,1.27117491953118,1.27117491953118
1,0.5,good,22,2.4872281301898216,1.3651490716887076,1.365149071688708,1.365149071688708
1,0.5,bad,1,2.4872281301898216,1.3651490716887076,1.3651490716887076,1.3651490716887076
1,0.6,good,17,2.5971806326650277,1.4660761276237777,1.4660761276237777,1.4660761276237777
1,0.7,good,14,2.7152682356147633,1.5744705146531575,1.5744705146531575,0.9072092288591677
1,0.8,good,13,2.8420928340231426,1.6908847212365108,1.6908847212365108,0.6477818841378242
1,0.9,good,16,2.9783008555230213,1.8159121130216447,1.8159121130216447,0.5027123930596223
1,1.0,good,10,3.1245865552511702,1.9501899572416344,1.9501899572416341,1.2754134447488297
